gender,age_group,institute_name,residential_area,percentage_10th,percentage_12th,cgpa,backlog,attended_nursery,reason_college,engineering_branch,reason_course,mother_education_status,mother_job_status,father_education_status,father_job_status,guardian,family_size,parental_relationship_status,family_relationship_quality,family_income,internet_access_home,transport_mode,travel_time,daily_study_time,extracurricular_courses,attended_workshops,community_service,communication_skills,leadership_skills,teamwork_skills,internships_completed,projects_completed,peer_group_quality,time_management,health_status,stress_frequency,stress_coping_mechanisms,hobbies_interests,friends_outing_frequency,romantic_relationship,family_motivation,paid_classes,placement_status,higher_education_interest,alcohol_consumption,smoking,other_addictions,internship_payment_status,PC1,PC2,PC3,PC4,PC5
1,2,106,1,271,258,303,0,1,3,100,3,0,2,0,3,1,1,1,1,0,0,2,3,0,1,1,0,3,3,3,0,1,3,3,3,3,0,113,3,0,1,0,46,1,0,0,0,64,1.2437161212428416,-0.5394705226918631,0.37681714948107287,-1.544839219795512,0.837146904598965
1,2,169,1,191,216,312,0,0,3,100,3,3,2,0,2,1,0,0,1,2,0,3,3,0,1,1,0,3,3,3,0,1,3,3,3,3,0,114,3,0,1,0,46,0,0,0,0,64,1.5918857666961403,0.9271927612005257,0.8761674491508625,-1.7371808540901599,1.3079370217282527
1,2,9,0,224,129,245,0,1,0,99,3,4,2,2,0,2,1,1,1,0,0,2,3,1,0,0,0,5,5,1,0,0,3,5,5,3,1,263,1,0,0,0,46,0,0,0,0,64,4.779287718912043,-0.4030037492207226,0.7616367804477971,-1.0951782590993993,-1.4090492712119098
1,2,14,1,273,265,195,0,1,1,90,3,0,2,4,0,1,0,1,1,4,1,2,3,3,1,1,1,1,1,1,0,1,1,2,1,1,0,523,1,0,2,0,46,1,0,0,0,64,-2.9067694824222197,-0.4962426035712813,0.18389198903398113,-0.48854545214552864,-0.7711498271850532
0,2,83,1,273,320,315,0,1,1,86,3,0,2,2,0,1,0,1,4,4,1,3,1,0,1,0,0,4,4,3,0,1,3,3,3,3,0,681,3,0,1,0,46,1,0,0,0,64,2.6876476920757275,-0.6560295546892001,0.6928993449549684,-3.066423473373832,0.6623726164207887
0,2,106,1,285,216,215,0,1,1,90,3,4,2,2,4,0,0,1,1,2,1,3,1,0,1,1,1,1,1,1,0,1,2,1,1,2,1,738,4,0,2,0,46,1,0,0,0,64,-3.2062838566771736,-1.6444617639500028,0.7789753650852597,-1.8695182375703574,-0.6215400979090506
1,2,9,0,224,307,270,0,1,1,85,3,0,2,0,1,1,1,1,5,4,1,3,2,1,0,1,0,1,2,2,0,1,1,3,2,3,0,17,5,1,1,0,46,0,1,1,1,64,2.526897619333222,0.4963243394971675,13.334758386697285,5.7337534526164315,-1.1684916360472992
1,2,2,1,310,89,288,0,1,2,85,1,4,4,0,0,1,0,1,5,2,1,2,2,0,1,1,1,5,3,5,0,1,3,3,3,3,1,263,3,1,2,0,47,1,0,0,0,64,3.0435485988229374,-3.0957171173649045,-0.3426025234041202,-1.3141337857239899,1.5254775952547883
1,2,2,1,119,178,84,0,1,1,86,3,0,2,2,1,1,0,1,3,4,1,0,2,1,0,1,0,2,2,1,1,1,3,3,3,3,0,6,3,0,1,0,46,0,0,0,0,64,1.0802493033012155,0.6533147889582159,0.515776746524092,0.7822397783560581,-0.3303890828893232
1,2,42,1,169,122,139,0,1,1,93,3,2,4,2,3,0,1,1,1,3,1,2,3,2,1,1,0,3,3,2,0,0,1,3,1,3,1,84,3,0,2,0,46,1,0,0,0,64,-0.05643756678949189,-1.3787298200120888,-0.009280571823024514,0.09794143762749995,-0.7490636622579676
1,2,3,1,203,153,233,0,1,1,103,3,0,2,0,1,1,0,0,1,2,1,3,1,0,1,1,0,4,3,2,0,1,3,2,2,2,0,250,2,0,2,0,46,1,0,0,0,64,0.60057790235864,0.14875568228179814,0.11178928760607566,-1.5899488986943515,0.3670880615301273
0,2,87,1,292,274,298,0,0,1,207,3,0,2,0,0,1,1,1,1,2,0,3,0,0,1,1,0,2,2,1,1,1,2,2,3,2,1,358,5,0,1,1,46,1,0,0,0,64,-1.5958279972377665,-0.03001984656245813,1.7202289077868669,-1.798661600548722,1.7072133288388844
1,2,53,0,294,135,277,0,1,3,86,3,0,2,0,2,1,0,1,1,2,0,3,0,0,1,0,0,3,2,2,0,1,2,2,1,2,0,553,4,0,2,0,46,0,0,0,0,64,-0.5501236495060572,1.193115249821424,1.2183525608173522,-1.9020132535226884,0.5108449732065032
1,2,9,1,169,97,7,1,1,0,100,1,2,2,4,0,1,1,1,1,0,1,2,3,2,1,1,1,1,1,1,0,0,1,3,1,4,0,21,4,1,1,0,46,1,0,0,0,64,-0.9616007818152033,-0.8165415277954927,-1.1934093904771408,2.024079142969833,-2.8698796500115007
0,2,67,1,312,244,311,0,1,1,90,3,4,2,4,3,1,1,1,1,2,1,3,1,2,1,1,1,2,2,2,0,0,1,2,2,2,1,659,2,0,2,0,46,1,0,0,0,64,-1.5968488745576914,-2.6029349352730975,0.8073844362823649,-2.1643037238120573,-0.9849105859594458
0,2,57,1,288,273,319,0,1,1,100,3,3,2,0,2,1,0,1,1,2,1,3,1,2,1,1,1,2,2,2,0,0,1,2,2,2,1,631,2,0,2,0,46,1,0,0,0,64,-1.6027616473735489,-1.6633121453948156,0.9961269236842983,-2.5177316822880895,-0.5747283469634051
1,2,25,1,334,352,230,0,1,1,90,3,4,2,4,0,1,1,1,2,0,1,3,3,0,1,1,1,1,2,2,0,1,1,4,2,2,1,24,3,0,1,0,46,1,0,0,0,64,-1.0862970513133057,-3.184619282417494,0.39398944689383447,-0.78843536616426,-0.2831775814582921
